lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,emptype
57751141ESN,005,5775,0,11,000000000,041,0001562,0001562,000,10012019,N,I,N,N,ES
57751142ESN,005,5775,0,11,000000000,042,0001562,0001562,000,10012019,N,I,N,N,ES
57751143ESN,005,5775,0,11,000000000,043,0001562,0001562,000,10012019,N,I,N,N,ES
57751144ESN,005,5775,0,11,000000000,044,0001562,0001562,000,10012019,N,I,N,N,ES
57751145ESN,005,5775,0,11,000000000,045,0002170,0002170,000,10012019,N,I,N,N,ES
57751146ESN,005,5775,0,11,000000000,046,0002170,0002170,000,10012019,N,I,N,N,ES
57751147ESN,005,5775,0,11,000000000,047,0002170,0002170,000,10012019,N,I,N,N,ES
57751148ESN,005,5775,0,11,000000000,048,0002170,0002170,000,10012019,N,I,N,N,ES
57751149ESN,005,5775,0,11,000000000,049,0002170,0002170,000,10012019,N,I,N,N,ES
57751150ESN,005,5775,0,11,000000000,050,0002994,0002994,000,10012019,N,I,N,N,ES
57751151ESN,005,5775,0,11,000000000,051,0002994,0002994,000,10012019,N,I,N,N,ES
57751152ESN,005,5775,0,11,000000000,052,0002994,0002994,000,10012019,N,I,N,N,ES
57751153ESN,005,5775,0,11,000000000,053,0002994,0002994,000,10012019,N,I,N,N,ES
57751154ESN,005,5775,0,11,000000000,054,0002994,0002994,000,10012019,N,I,N,N,ES
57751155ESN,005,5775,0,11,000000000,055,0003855,0003855,000,10012019,N,I,N,N,ES
57751156ESN,005,5775,0,11,000000000,056,0003855,0003855,000,10012019,N,I,N,N,ES
57751157ESN,005,5775,0,11,000000000,057,0003855,0003855,000,10012019,N,I,N,N,ES
57751158ESN,005,5775,0,11,000000000,058,0003855,0003855,000,10012019,N,I,N,N,ES
57751159ESN,005,5775,0,11,000000000,059,0003855,0003855,000,10012019,N,I,N,N,ES
57751160ESN,005,5775,0,11,000000000,060,0004852,0004852,000,10012019,N,I,N,N,ES
57751161ESN,005,5775,0,11,000000000,061,0004852,0004852,000,10012019,N,I,N,N,ES
57751162ESN,005,5775,0,11,000000000,062,0004852,0004852,000,10012019,N,I,N,N,ES
57751163ESN,005,5775,0,11,000000000,063,0004852,0004852,000,10012019,N,I,N,N,ES
57751164ESN,005,5775,0,11,000000000,064,0004852,0004852,000,10012019,N,I,N,N,ES
57751165ESN,005,5775,0,11,000000000,065,0006154,0006154,000,10012019,N,I,N,N,ES
57751166ESN,005,5775,0,11,000000000,066,0006154,0006154,000,10012019,N,I,N,N,ES
57751167ESN,005,5775,0,11,000000000,067,0006154,0006154,000,10012019,N,I,N,N,ES
57751168ESN,005,5775,0,11,000000000,068,0006154,0006154,000,10012019,N,I,N,N,ES
57751169ESN,005,5775,0,11,000000000,069,0006154,0006154,000,10012019,N,I,N,N,ES
57751170ESN,005,5775,0,11,000000000,070,0007251,0007251,000,10012019,N,I,N,N,ES
57751171ESN,005,5775,0,11,000000000,071,0007251,0007251,000,10012019,N,I,N,N,ES
57751172ESN,005,5775,0,11,000000000,072,0007251,0007251,000,10012019,N,I,N,N,ES
57751173ESN,005,5775,0,11,000000000,073,0007251,0007251,000,10012019,N,I,N,N,ES
57751174ESN,005,5775,0,11,000000000,074,0007251,0007251,000,10012019,N,I,N,N,ES
57751175ESN,005,5775,0,11,000000000,075,0007978,0007978,000,10012019,N,I,N,N,ES
57751176ESN,005,5775,0,11,000000000,076,0007978,0007978,000,10012019,N,I,N,N,ES
57751177ESN,005,5775,0,11,000000000,077,0007978,0007978,000,10012019,N,I,N,N,ES
57751178ESN,005,5775,0,11,000000000,078,0007978,0007978,000,10012019,N,I,N,N,ES
57751179ESN,005,5775,0,11,000000000,079,0007978,0007978,000,10012019,N,I,N,N,ES
57751180ESN,005,5775,0,11,000000000,080,0008423,0008423,000,10012019,N,I,N,N,ES
57751181ESN,005,5775,0,11,000000000,081,0008423,0008423,000,10012019,N,I,N,N,ES
57751182ESN,005,5775,0,11,000000000,082,0008423,0008423,000,10012019,N,I,N,N,ES
57751183ESN,005,5775,0,11,000000000,083,0008423,0008423,000,10012019,N,I,N,N,ES
57751184ESN,005,5775,0,11,000000000,084,0008423,0008423,000,10012019,N,I,N,N,ES
57751185ESN,005,5775,0,11,000000000,085,0008715,0008715,000,10012019,N,I,N,N,ES
57751186ESN,005,5775,0,11,000000000,086,0008715,0008715,000,10012019,N,I,N,N,ES
57751187ESN,005,5775,0,11,000000000,087,0008715,0008715,000,10012019,N,I,N,N,ES
57751188ESN,005,5775,0,11,000000000,088,0008715,0008715,000,10012019,N,I,N,N,ES
57751189ESN,005,5775,0,11,000000000,089,0008715,0008715,000,10012019,N,I,N,N,ES
57751190ESN,005,5775,0,11,000000000,090,0009129,0009129,000,10012019,N,I,N,N,ES
57751191ESN,005,5775,0,11,000000000,091,0009129,0009129,000,10012019,N,I,N,N,ES
57751192ESN,005,5775,0,11,000000000,092,0009129,0009129,000,10012019,N,I,N,N,ES
57751193ESN,005,5775,0,11,000000000,093,0009129,0009129,000,10012019,N,I,N,N,ES
57751194ESN,005,5775,0,11,000000000,094,0009129,0009129,000,10012019,N,I,N,N,ES
57751195ESN,005,5775,0,11,000000000,095,0009338,0009338,000,10012019,N,I,N,N,ES
57751196ESN,005,5775,0,11,000000000,096,0009338,0009338,000,10012019,N,I,N,N,ES
57751197ESN,005,5775,0,11,000000000,097,0009338,0009338,000,10012019,N,I,N,N,ES
57751198ESN,005,5775,0,11,000000000,098,0009338,0009338,000,10012019,N,I,N,N,ES
57751199ESN,005,5775,0,11,000000000,099,0009338,0009338,000,10012019,N,I,N,N,ES
577511181FN,005,5775,0,11,000000000,018,0000300,0000300,000,10012019,N,I,N,N,1F
577511191FN,005,5775,0,11,000000000,019,0000300,0000300,000,10012019,N,I,N,N,1F
577511201FN,005,5775,0,11,000000000,020,0000300,0000300,000,10012019,N,I,N,N,1F
577511211FN,005,5775,0,11,000000000,021,0000300,0000300,000,10012019,N,I,N,N,1F
577511221FN,005,5775,0,11,000000000,022,0000300,0000300,000,10012019,N,I,N,N,1F
577511231FN,005,5775,0,11,000000000,023,0000300,0000300,000,10012019,N,I,N,N,1F
577511241FN,005,5775,0,11,000000000,024,0000300,0000300,000,10012019,N,I,N,N,1F
577511251FN,005,5775,0,11,000000000,025,0000300,0000300,000,10012019,N,I,N,N,1F
577511261FN,005,5775,0,11,000000000,026,0000300,0000300,000,10012019,N,I,N,N,1F
577511271FN,005,5775,0,11,000000000,027,0000300,0000300,000,10012019,N,I,N,N,1F
577511281FN,005,5775,0,11,000000000,028,0000300,0000300,000,10012019,N,I,N,N,1F
577511291FN,005,5775,0,11,000000000,029,0000300,0000300,000,10012019,N,I,N,N,1F
577511301FN,005,5775,0,11,000000000,030,0000513,0000513,000,10012019,N,I,N,N,1F
577511311FN,005,5775,0,11,000000000,031,0000513,0000513,000,10012019,N,I,N,N,1F
577511321FN,005,5775,0,11,000000000,032,0000513,0000513,000,10012019,N,I,N,N,1F
577511331FN,005,5775,0,11,000000000,033,0000513,0000513,000,10012019,N,I,N,N,1F
577511341FN,005,5775,0,11,000000000,034,0000513,0000513,000,10012019,N,I,N,N,1F
577511351FN,005,5775,0,11,000000000,035,0000703,0000703,000,10012019,N,I,N,N,1F
577511361FN,005,5775,0,11,000000000,036,0000703,0000703,000,10012019,N,I,N,N,1F
577511371FN,005,5775,0,11,000000000,037,0000703,0000703,000,10012019,N,I,N,N,1F
577511381FN,005,5775,0,11,000000000,038,0000703,0000703,000,10012019,N,I,N,N,1F
577511391FN,005,5775,0,11,000000000,039,0000703,0000703,000,10012019,N,I,N,N,1F
577511401FN,005,5775,0,11,000000000,040,0000936,0000936,000,10012019,N,I,N,N,1F
577511411FN,005,5775,0,11,000000000,041,0000936,0000936,000,10012019,N,I,N,N,1F
577511421FN,005,5775,0,11,000000000,042,0000936,0000936,000,10012019,N,I,N,N,1F
577511431FN,005,5775,0,11,000000000,043,0000936,0000936,000,10012019,N,I,N,N,1F
577511441FN,005,5775,0,11,000000000,044,0000936,0000936,000,10012019,N,I,N,N,1F
577511451FN,005,5775,0,11,000000000,045,0001277,0001277,000,10012019,N,I,N,N,1F
577511461FN,005,5775,0,11,000000000,046,0001277,0001277,000,10012019,N,I,N,N,1F
577511471FN,005,5775,0,11,000000000,047,0001277,0001277,000,10012019,N,I,N,N,1F
577511481FN,005,5775,0,11,000000000,048,0001277,0001277,000,10012019,N,I,N,N,1F
577511491FN,005,5775,0,11,000000000,049,0001277,0001277,000,10012019,N,I,N,N,1F
577511501FN,005,5775,0,11,000000000,050,0001653,0001653,000,10012019,N,I,N,N,1F
577511511FN,005,5775,0,11,000000000,051,0001653,0001653,000,10012019,N,I,N,N,1F
577511521FN,005,5775,0,11,000000000,052,0001653,0001653,000,10012019,N,I,N,N,1F
577511531FN,005,5775,0,11,000000000,053,0001653,0001653,000,10012019,N,I,N,N,1F
577511541FN,005,5775,0,11,000000000,054,0001653,0001653,000,10012019,N,I,N,N,1F
577511551FN,005,5775,0,11,000000000,055,0002071,0002071,000,10012019,N,I,N,N,1F
577511561FN,005,5775,0,11,000000000,056,0002071,0002071,000,10012019,N,I,N,N,1F
577511571FN,005,5775,0,11,000000000,057,0002071,0002071,000,10012019,N,I,N,N,1F
577511581FN,005,5775,0,11,000000000,058,0002071,0002071,000,10012019,N,I,N,N,1F
577511591FN,005,5775,0,11,000000000,059,0002071,0002071,000,10012019,N,I,N,N,1F
577511601FN,005,5775,0,11,000000000,060,0002578,0002578,000,10012019,N,I,N,N,1F
577511611FN,005,5775,0,11,000000000,061,0002578,0002578,000,10012019,N,I,N,N,1F
577511621FN,005,5775,0,11,000000000,062,0002578,0002578,000,10012019,N,I,N,N,1F
577511631FN,005,5775,0,11,000000000,063,0002578,0002578,000,10012019,N,I,N,N,1F
577511641FN,005,5775,0,11,000000000,064,0002578,0002578,000,10012019,N,I,N,N,1F
577511651FN,005,5775,0,11,000000000,065,0003227,0003227,000,10012019,N,I,N,N,1F
577511661FN,005,5775,0,11,000000000,066,0003227,0003227,000,10012019,N,I,N,N,1F
577511671FN,005,5775,0,11,000000000,067,0003227,0003227,000,10012019,N,I,N,N,1F
577511681FN,005,5775,0,11,000000000,068,0003227,0003227,000,10012019,N,I,N,N,1F
577511691FN,005,5775,0,11,000000000,069,0003227,0003227,000,10012019,N,I,N,N,1F
577511701FN,005,5775,0,11,000000000,070,0003696,0003696,000,10012019,N,I,N,N,1F
577511711FN,005,5775,0,11,000000000,071,0003696,0003696,000,10012019,N,I,N,N,1F
577511721FN,005,5775,0,11,000000000,072,0003696,0003696,000,10012019,N,I,N,N,1F
