lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,class,ratetype,emptype
57754495EEN,005,5775,0,44,000000000,095,0004659,0004659,000,10142019,N,I,N,N,,,EE
57754496EEN,005,5775,0,44,000000000,096,0004659,0004659,000,10142019,N,I,N,N,,,EE
57754497EEN,005,5775,0,44,000000000,097,0004659,0004659,000,10142019,N,I,N,N,,,EE
57754498EEN,005,5775,0,44,000000000,098,0004659,0004659,000,10142019,N,I,N,N,,,EE
57754499EEN,005,5775,0,44,000000000,099,0004659,0004659,000,10142019,N,I,N,N,,,EE
57754418ESN,005,5775,0,44,000000000,018,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754419ESN,005,5775,0,44,000000000,019,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754420ESN,005,5775,0,44,000000000,020,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754421ESN,005,5775,0,44,000000000,021,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754422ESN,005,5775,0,44,000000000,022,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754423ESN,005,5775,0,44,000000000,023,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754424ESN,005,5775,0,44,000000000,024,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754425ESN,005,5775,0,44,000000000,025,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754426ESN,005,5775,0,44,000000000,026,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754427ESN,005,5775,0,44,000000000,027,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754428ESN,005,5775,0,44,000000000,028,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754429ESN,005,5775,0,44,000000000,029,0000420,0000420,000,10142019,N,I,N,N,,,ES
57754430ESN,005,5775,0,44,000000000,030,0000783,0000783,000,10142019,N,I,N,N,,,ES
57754431ESN,005,5775,0,44,000000000,031,0000783,0000783,000,10142019,N,I,N,N,,,ES
57754432ESN,005,5775,0,44,000000000,032,0000783,0000783,000,10142019,N,I,N,N,,,ES
57754433ESN,005,5775,0,44,000000000,033,0000783,0000783,000,10142019,N,I,N,N,,,ES
57754434ESN,005,5775,0,44,000000000,034,0000783,0000783,000,10142019,N,I,N,N,,,ES
57754435ESN,005,5775,0,44,000000000,035,0001123,0001123,000,10142019,N,I,N,N,,,ES
57754436ESN,005,5775,0,44,000000000,036,0001123,0001123,000,10142019,N,I,N,N,,,ES
57754437ESN,005,5775,0,44,000000000,037,0001123,0001123,000,10142019,N,I,N,N,,,ES
57754438ESN,005,5775,0,44,000000000,038,0001123,0001123,000,10142019,N,I,N,N,,,ES
57754439ESN,005,5775,0,44,000000000,039,0001123,0001123,000,10142019,N,I,N,N,,,ES
57754440ESN,005,5775,0,44,000000000,040,0001562,0001562,000,10142019,N,I,N,N,,,ES
57754441ESN,005,5775,0,44,000000000,041,0001562,0001562,000,10142019,N,I,N,N,,,ES
57754442ESN,005,5775,0,44,000000000,042,0001562,0001562,000,10142019,N,I,N,N,,,ES
57754443ESN,005,5775,0,44,000000000,043,0001562,0001562,000,10142019,N,I,N,N,,,ES
57754444ESN,005,5775,0,44,000000000,044,0001562,0001562,000,10142019,N,I,N,N,,,ES
57754445ESN,005,5775,0,44,000000000,045,0002170,0002170,000,10142019,N,I,N,N,,,ES
57754446ESN,005,5775,0,44,000000000,046,0002170,0002170,000,10142019,N,I,N,N,,,ES
57754447ESN,005,5775,0,44,000000000,047,0002170,0002170,000,10142019,N,I,N,N,,,ES
57754448ESN,005,5775,0,44,000000000,048,0002170,0002170,000,10142019,N,I,N,N,,,ES
57754449ESN,005,5775,0,44,000000000,049,0002170,0002170,000,10142019,N,I,N,N,,,ES
57754450ESN,005,5775,0,44,000000000,050,0002994,0002994,000,10142019,N,I,N,N,,,ES
57754451ESN,005,5775,0,44,000000000,051,0002994,0002994,000,10142019,N,I,N,N,,,ES
57754452ESN,005,5775,0,44,000000000,052,0002994,0002994,000,10142019,N,I,N,N,,,ES
57754453ESN,005,5775,0,44,000000000,053,0002994,0002994,000,10142019,N,I,N,N,,,ES
57754454ESN,005,5775,0,44,000000000,054,0002994,0002994,000,10142019,N,I,N,N,,,ES
57754455ESN,005,5775,0,44,000000000,055,0003855,0003855,000,10142019,N,I,N,N,,,ES
57754456ESN,005,5775,0,44,000000000,056,0003855,0003855,000,10142019,N,I,N,N,,,ES
57754457ESN,005,5775,0,44,000000000,057,0003855,0003855,000,10142019,N,I,N,N,,,ES
57754458ESN,005,5775,0,44,000000000,058,0003855,0003855,000,10142019,N,I,N,N,,,ES
57754459ESN,005,5775,0,44,000000000,059,0003855,0003855,000,10142019,N,I,N,N,,,ES
